long,lat,trail
145.07015795366996,-37.87645333405668,OUTER CIRCLE RAIL TRAIL
145.0699517800759,-37.87647016930572,OUTER CIRCLE RAIL TRAIL
145.06994712286377,-37.87650174507774,OUTER CIRCLE RAIL TRAIL
145.07031042816286,-37.876640825424055,OUTER CIRCLE RAIL TRAIL
145.07018878029513,-37.876847049902025,OUTER CIRCLE RAIL TRAIL
145.07129318181612,-37.87571312710539,OUTER CIRCLE RAIL TRAIL
145.07131938808328,-37.87568375488841,OUTER CIRCLE RAIL TRAIL
145.07128354401488,-37.875578263202264,OUTER CIRCLE RAIL TRAIL
145.07119025727107,-37.87551760593765,OUTER CIRCLE RAIL TRAIL
145.0710855707755,-37.87544323611055,OUTER CIRCLE RAIL TRAIL
145.0709341583442,-37.87537176161845,OUTER CIRCLE RAIL TRAIL
145.07088724247333,-37.875308208894474,OUTER CIRCLE RAIL TRAIL
145.07087447076208,-37.87526552164642,OUTER CIRCLE RAIL TRAIL
145.07087441833335,-37.875209699597754,OUTER CIRCLE RAIL TRAIL
145.07015795366996,-37.87645333405668,OUTER CIRCLE RAIL TRAIL
145.07017425905335,-37.87634931984291,OUTER CIRCLE RAIL TRAIL
145.07018822577265,-37.876250877751865,OUTER CIRCLE RAIL TRAIL
145.0702405539885,-37.8761735132912,OUTER CIRCLE RAIL TRAIL
145.0703815103205,-37.876114867931726,OUTER CIRCLE RAIL TRAIL
145.07054912854863,-37.87607873126336,OUTER CIRCLE RAIL TRAIL
145.0707067797302,-37.87602007571154,OUTER CIRCLE RAIL TRAIL
145.07080415882936,-37.87594035813412,OUTER CIRCLE RAIL TRAIL
145.07093283961774,-37.87574155828348,OUTER CIRCLE RAIL TRAIL
145.07099604831834,-37.875683946459766,OUTER CIRCLE RAIL TRAIL
145.07109680966298,-37.87569503018509,OUTER CIRCLE RAIL TRAIL
145.07119994522753,-37.87573954331136,OUTER CIRCLE RAIL TRAIL
145.07127959837862,-37.87572835273369,OUTER CIRCLE RAIL TRAIL
145.07129318181612,-37.87571312710539,OUTER CIRCLE RAIL TRAIL
145.07087441833335,-37.875209699597754,OUTER CIRCLE RAIL TRAIL
145.07088518517256,-37.87513884279881,OUTER CIRCLE RAIL TRAIL
145.0708972777528,-37.87503577964586,OUTER CIRCLE RAIL TRAIL
145.07093110562164,-37.87500570204215,OUTER CIRCLE RAIL TRAIL
145.07099066696935,-37.8749766822889,OUTER CIRCLE RAIL TRAIL
145.07106376835355,-37.87494443438828,OUTER CIRCLE RAIL TRAIL
145.07113688169395,-37.874926141732274,OUTER CIRCLE RAIL TRAIL
145.07114127965946,-37.874925241750006,OUTER CIRCLE RAIL TRAIL
